tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,wiki_film,wiki_series,wiki_country,wiki_genres,wiki_producer_company,wiki_location
tt8962754,movie,A Pebble in the Pond,A Pebble in the Pond,0,2022,\N,103,Documentary,10.0,7.0,,,,,,
tt4338862,movie,Invisible,Invisible,0,2022,\N,\N,Documentary,10.0,7.0,,,,,,
tt14605420,movie,Souls in Transit,Souls in Transit,0,2021,\N,77,Documentary,10.0,10.0,,,,,,
tt6992710,movie,Gumbo,Gumbo,0,2018,\N,49,Documentary,10.0,6.0,,,,,,
tt21110404,movie,Breaking la Vida,Breaking la Vida,0,2022,\N,93,Documentary,10.0,8.0,,,,,,
tt22016398,movie,Chasing Tokyo,Chasing Tokyo,0,2022,\N,89,Adventure;Documentary;Sport,10.0,5.0,,,,,,
tt21101694,movie,In Pursuit of Flavor,In Pursuit of Flavor,0,2022,\N,60,Documentary,10.0,40.0,,,,,,
tt22489120,movie,La Lucha - getting schooled in America,La Lucha - getting schooled in America,0,2022,\N,80,Documentary,10.0,7.0,,,,,,
tt13479840,movie,North,North,0,2020,\N,\N,Documentary,10.0,6.0,,,,,,
tt2555246,movie,This Is MY Country Twin Fiddles and Accordion,This Is MY Country Twin Fiddles and Accordion,0,2012,\N,\N,Documentary,10.0,7.0,,,,,,
tt4085610,movie,A Thousand Voices,A Thousand Voices,0,2014,\N,57,Documentary;History,10.0,6.0,,,,,,
tt16762816,movie,Travel from Moscow to Kostroma on the ship Knyazhna Victoria,Travel from Moscow to Kostroma on the ship Knyazhna Victoria,0,2021,\N,45,Documentary,10.0,19.0,,,,,,
tt24668540,movie,Ganaa,Ganaa,0,2023,\N,\N,Crime,10.0,240.0,,,,,,
tt7065722,movie,Cross Mountain,Cross Mountain,0,2023,\N,71,Documentary,10.0,6.0,,,,,,
tt1737585,movie,East of Byzantium: War Gods and Warrior Saints,East of Byzantium: War Gods and Warrior Saints,0,2016,\N,\N,Documentary,10.0,10.0,,,,,,
tt25385756,movie,Macha Do Bawandar Macha Do,Macha Do Bawandar Macha Do,0,2022,\N,\N,Sport,10.0,5.0,,,,,,
tt3835096,movie,The Film That Changed the World,The Film That Changed the World,0,2014,\N,110,Documentary,10.0,13.0,,,,,,
tt16112972,movie,Mormor kriget & kärleken,Mormor kriget & kärleken,0,2022,\N,80,Documentary,10.0,15.0,,,,,,
tt11654554,movie,The Fragile King,The Fragile King,0,2022,\N,90,Drama,10.0,6.0,,,,,,
tt12966276,movie,Skategoat,Skategoat,0,2021,\N,80,Documentary,10.0,7.0,,,,,,
tt10323492,movie,Dialogue,Diyalog,0,2019,\N,93,Documentary,10.0,5.0,,,,,,
tt3526310,movie,The World Awaits,The World Awaits,0,2016,\N,98,Documentary,10.0,9.0,,,,,,
