tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0290258,movie,Paandav,Paandav,0,1995,\N,132,Action;Drama
tt14818702,tvEpisode,Yasashisa tesuto wa dai seikou no maki,Yasashisa tesuto wa dai seikou no maki,0,1983,\N,\N,Action;Animation;Comedy
tt27127275,tvEpisode,#1 Boss,#1 Boss,0,2020,\N,\N,Comedy
tt7179750,tvEpisode,Episode #1.174,Episode #1.174,0,1978,\N,\N,Family;Game-Show
tt8220674,short,Scavenger,Scavenger,0,2018,\N,5,Animation;Short
tt7266366,tvEpisode,Spider-Man vs Beauty and the Beast,Spider-Man vs Beauty and the Beast,0,2017,\N,\N,Comedy
tt8830050,tvEpisode,Episode dated 10 August 2018,Episode dated 10 August 2018,0,2018,\N,\N,Talk-Show
tt7707366,tvEpisode,Episode #2.26,Episode #2.26,0,2008,\N,\N,Music;Romance
tt14210938,tvEpisode,Sonic Adventure,Sonic Adventure,0,2009,\N,\N,Talk-Show
tt16530044,tvEpisode,Episode #1.1070,Episode #1.1070,0,\N,\N,30,Drama
tt3397856,tvEpisode,Teen Girls Addicted to Sex and Violence!,Teen Girls Addicted to Sex and Violence!,0,2008,\N,\N,Comedy;Drama;Talk-Show
tt0206022,short,The Horse,The Horse,0,2009,\N,14,Drama;Short
tt18350864,tvSeries,Uncle by Day,Uncle by Day,0,\N,\N,\N,Comedy
tt25378964,tvEpisode,Episode #1.122,Episode #1.122,0,2022,\N,\N,Drama;Romance
tt15632800,tvEpisode,3. mai 2017 kl. 07:30,3. mai 2017 kl. 07:30,0,2017,\N,\N,News
tt6795836,tvEpisode,Ghost in the Shell E Os Filmes De Anime,Ghost in the Shell E Os Filmes De Anime,0,2017,\N,\N,News;Short
tt20826556,tvEpisode,Episode #1.61,Episode #1.61,0,2010,\N,\N,Comedy;Romance
tt7045356,tvEpisode,Saft og svele - 98 - Ei formiddags svele,Saft og svele - 98 - Ei formiddags svele,0,2017,\N,56,Comedy;News
tt2800966,movie,Antonio Gil,Antonio Gil,0,2013,\N,95,Biography;Documentary;History
tt24246186,tvEpisode,Episode #1.5395,Episode #1.5395,0,2022,\N,\N,Drama;Family;Romance
tt0296703,short,De kapper,De kapper,0,1997,\N,\N,Short
tt18247684,tvEpisode,Episode #1.65,Episode #1.65,0,\N,\N,\N,Talk-Show
tt16060772,tvEpisode,Episode #2.5,Episode #2.5,0,2021,\N,\N,Comedy;Drama
tt0726473,tvEpisode,Episode dated 15 April 1970,Episode dated 15 April 1970,0,1970,\N,\N,Comedy;Talk-Show
tt7338698,tvEpisode,Simar and Roli have an argument,Simar and Roli have an argument,0,\N,\N,\N,Drama;Fantasy
tt11615306,tvEpisode,Episode dated 11 December 1997,Episode dated 11 December 1997,0,1997,\N,\N,News
tt15991052,tvEpisode,11. mai 2017 kl. 20:55,11. mai 2017 kl. 20:55,0,2017,\N,\N,News
tt5444344,tvSeries,Animais Anónimos,Animais Anónimos,0,2015,\N,\N,Documentary;Talk-Show
tt0213207,tvMovie,Ryzhiy chestnyy vlyublyonnyy,Ryzhiy chestnyy vlyublyonnyy,0,1984,\N,140,Family;Fantasy
tt9370522,tvEpisode,Episode #1.259,Episode #1.259,0,2016,\N,\N,Drama
tt10941604,tvEpisode,Episode dated 18 March 2011,Episode dated 18 March 2011,0,2011,\N,\N,News
tt15678530,tvEpisode,Barnediplomatiet,Barnediplomatiet,0,2014,\N,\N,Documentary;News
tt2741010,tvEpisode,Shawn & Marlon Wayans/David Frost/Bettie Serveert,Shawn & Marlon Wayans/David Frost/Bettie Serveert,0,1995,\N,\N,Comedy;Music;Talk-Show
tt0868860,tvEpisode,Episode #11.91,Episode #11.91,0,2003,\N,\N,Comedy;Music;Talk-Show
tt6258706,tvEpisode,Episode #1.82,Episode #1.82,0,2016,\N,\N,Comedy;Crime;Drama
tt3073368,tvEpisode,Episode #2.29,Episode #2.29,0,1995,\N,50,Drama;Romance
tt3902706,short,Empty Nesters,Empty Nesters,0,2014,\N,7,Documentary;Family;Short
